<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.29	00:00:00	4527.210	4528.013	4520.268	4524.784	1247	0	160
2025.12.29	00:01:00	4524.773	4525.081	4520.438	4520.438	808	0	160
2025.12.29	00:02:00	4520.408	4521.349	4514.441	4520.626	1825	0	160
2025.12.29	00:03:00	4520.604	4522.243	4518.179	4519.076	945	0	160
2025.12.29	00:04:00	4519.049	4520.226	4517.061	4520.217	798	0	160
2025.12.29	00:05:00	4520.257	4523.005	4519.373	4521.593	627	0	160
2025.12.29	00:06:00	4521.530	4525.653	4521.506	4525.271	553	0	160
2025.12.29	00:07:00	4525.301	4525.422	4522.202	4522.367	380	0	160
2025.12.29	00:08:00	4522.331	4524.707	4521.783	4523.701	463	0	160
2025.12.29	00:09:00	4523.758	4523.943	4522.388	4523.414	422	0	160
2025.12.29	00:10:00	4523.276	4524.181	4521.982	4523.229	434	0	160
2025.12.29	00:11:00	4523.277	4526.216	4522.445	4526.087	397	0	160
2025.12.29	00:12:00	4526.019	4526.444	4524.668	4525.000	330	0	160
2025.12.29	00:13:00	4525.032	4525.348	4523.262	4523.837	385	0	160
2025.12.29	00:14:00	4523.805	4524.372	4522.314	4524.076	328	0	160
2025.12.29	00:15:00	4524.025	4524.069	4520.597	4520.782	393	0	160
2025.12.29	00:16:00	4520.832	4521.981	4518.891	4519.389	545	0	160
2025.12.29	00:17:00	4519.342	4521.058	4515.366	4515.690	652	0	160
2025.12.29	00:18:00	4515.739	4517.697	4512.087	4512.479	1066	0	160
2025.12.29	00:19:00	4512.457	4514.332	4510.620	4510.761	1002	0	160
2025.12.29	00:20:00	4510.718	4512.281	4504.088	4508.104	1610	0	160
2025.12.29	00:21:00	4508.062	4510.558	4503.257	4505.515	1814	0	160
2025.12.29	00:22:00	4505.549	4509.279	4496.910	4497.763	3947	0	160
2025.12.29	00:23:00	4497.642	4501.387	4494.242	4495.504	3208	0	160
2025.12.29	00:24:00	4495.480	4501.031	4494.033	4494.078	1853	0	160
2025.12.29	00:25:00	4494.048	4496.873	4493.272	4494.640	1244	0	160
2025.12.29	00:26:00	4494.602	4495.375	4485.521	4488.509	1718	0	160
2025.12.29	00:27:00	4488.579	4490.307	4482.669	4488.776	1895	0	160
2025.12.29	00:28:00	4488.827	4491.397	4483.177	4484.705	1645	0	160
2025.12.29	00:29:00	4484.742	4487.749	4482.529	4487.214	1224	0	160
2025.12.29	00:30:00	4487.183	4487.644	4472.314	4481.012	2042	0	160
2025.12.29	00:31:00	4480.970	4485.848	4480.680	4483.788	1584	0	160
2025.12.29	00:32:00	4483.817	4491.164	4481.755	4487.865	1375	0	160
2025.12.29	00:33:00	4487.836	4493.758	4486.486	4493.408	1320	0	160
2025.12.29	00:34:00	4493.372	4497.378	4492.238	4497.172	1178	0	160
2025.12.29	00:35:00	4497.099	4500.712	4494.558	4497.600	959	0	160
2025.12.29	00:36:00	4497.658	4501.727	4497.658	4501.220	642	0	160
2025.12.29	00:37:00	4501.312	4502.522	4499.691	4502.005	439	0	160
2025.12.29	00:38:00	4502.070	4502.234	4493.080	4494.102	975	0	160
